Barcode,Cluster
aepjldbo-1,1
aepjpclo-1,1
aepkbadg-1,2
aepkbhbn-1,1
aeplbgol-1,2
aepmfllo-1,1
aepnljil-1,2
aepnppja-1,4
aepodkca-1,4
aepoehlo-1,1
aepoenhk-1,1
aepomani-1,4
afaalmch-1,3
afabbpoo-1,2
afabhmao-1,3
afacjeii-1,4
afadegno-1,1
afadocdc-1,1
afagfcam-1,3
afagnnna-1,2
afajogjl-1,1
afajpdcl-1,1
afakhpig-1,3
afalpgph-1,3
afammigj-1,1
afankhbl-1,1
afaokdgo-1,2
afbaaofk-1,1
afbakdkl-1,1
afbdmnpl-1,2
afbdoldb-1,3
afbfhhpb-1,1
afbfjlel-1,1
afbjckpk-1,1
afbkccef-1,1
afblebeh-1,1
afbllcoh-1,1
afbpjnea-1,2
afbplmke-1,2
afcbapgd-1,2
afcbhlll-1,1
afcdmaab-1,1
afcephba-1,1
afcfcofo-1,1
afchgnge-1,2
afchjfap-1,4
afciacek-1,1
afcioema-1,1
afcjfbnn-1,4
afcjlmjd-1,2
afcjodph-1,1
afcmiblp-1,3
afcmkeip-1,1
afcpebkp-1,1
afdampgk-1,1
afdckbgb-1,2
afddanja-1,1
afddgfde-1,1
afdffomp-1,2
afdghimn-1,1
afdiecpm-1,4
afdjafeh-1,3
afdjbgcc-1,2
afdkhopg-1,2
afdlmbmb-1,2
afdoimep-1,1
afdojjpn-1,1
afdpamkm-1,4
afdpgmfh-1,1
afeeafgi-1,1
afefehdn-1,1
afegflmf-1,1
afeghecb-1,3
afehpmcf-1,1
afekcamd-1,4
afemiaao-1,1
afenkeho-1,2
afeocdfg-1,2
affelphh-1,2
affepgic-1,2
affgdmpa-1,1
affgjfbl-1,1
affgpdan-1,3
affhbibe-1,1
affjgpji-1,4
affkdkal-1,2
afflnedc-1,4
affoeiec-1,2
affogebh-1,1
afgdcbbh-1,4
afgdhidp-1,1
afghcbjb-1,2
afgkhnkn-1,1
afgkiege-1,1
afgkiikp-1,1
afgnkkkg-1,1
afgpgpcm-1,4
afgpgphf-1,1
afgpnnpl-1,1
afhagehp-1,1
afhcfeec-1,1
afhdcnnn-1,1
afhdjpie-1,1
afhehcmf-1,4
afhepbek-1,2
afheplma-1,1
afhfbfmo-1,1
afhfmddn-1,1
afhhbkmj-1,4
afhidddm-1,1
afhkbkjd-1,2
afhkjdjb-1,2
afhmiihm-1,1
afhmmabi-1,1
afhmnajk-1,1
afholamo-1,2
afhpfeoe-1,1
afiaagpg-1,1
afiagfdb-1,1
afiahlkg-1,4
afibbchi-1,3
afibnamf-1,4
afifilne-1,4
afigacia-1,1
afihdbng-1,3
afijbnkm-1,4
afijebpn-1,1
afiklcon-1,3
afilbckd-1,1
afilgdlp-1,3
afilhmif-1,4
afimfhep-1,4
afinjbom-1,2
afinkoha-1,2
afiollab-1,1
afjcbcnc-1,2
afjiibch-1,2
afjilcgp-1,4
afjjaood-1,1
afjpcfha-1,2
afjpfflf-1,2
afkaefhg-1,3
afkbpail-1,2
afkchikc-1,4
afkfcbea-1,4
afkifeeg-1,1
afkjpmnj-1,4
afkknfgc-1,4
afkolhgf-1,4
afkpjoic-1,2
aflbcnfn-1,2
aflbmnbb-1,4
aflejomb-1,4
aflhcgkg-1,2
aflhhcmn-1,4
aflhimcj-1,2
aflibdpf-1,1
afljcpmk-1,1
aflmiegk-1,2
aflmjagh-1,2
afmdahik-1,1
afmdaihm-1,4
afmeliap-1,4
afmfkanf-1,4
afmgdiom-1,2
afmgeeib-1,1
afmjfbhg-1,2
afmlhhif-1,4
afmndehg-1,1
afndmbbm-1,2
afnelgmi-1,4
afnfpnel-1,2
afngccjm-1,1
afngkagg-1,2
afnhopjf-1,2
afnidoal-1,1
afnifbko-1,1
afnjimbp-1,3
afnkfdol-1,1
afnlcndd-1,1
afnlohah-1,1
afnmbfda-1,1
afnnlolo-1,2
afnocmop-1,2
afobfpkp-1,1
afobpcja-1,2
afocgfpb-1,2
afocmmga-1,3
afodbaej-1,3
afoeelpi-1,1
afoelddb-1,2
afoepkln-1,1
afofameb-1,3
afofegbm-1,3
afoggcib-1,3
afojjaph-1,2
afojjhef-1,3
afokoppf-1,1
afolahmh-1,4
