NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CCNA2	1	CCNA2	
PARPBP	1	PARPBP	
GREB1	1	GREB1	
NPTXR	1	NPTXR	
RPAP2	1	RPAP2	
DIAPH2	1	DIAPH2	
SLC39A10	1	SLC39A10	
SLITRK5	1	SLITRK5	
FBXL17	1	FBXL17	
SLC2A6	1	SLC2A6	
SARS2	1	SARS2	
TENM3	1	TENM3	
C1orf216	1	C1orf216	
PRKCE	1	PRKCE	
RASSF1-AS1	1	RASSF1-AS1	
IRS1	1	IRS1	
ZNF641	1	ZNF641	
KCNN2	1	KCNN2	
MTAP	1	MTAP	
SEMA3E	1	SEMA3E	
SCFD2	1	SCFD2	
ADCK5	1	ADCK5	
PLEKHF2	1	PLEKHF2	
RADIL	1	RADIL	
SLITRK1	1	SLITRK1	
LINC02245	1	LINC02245	
CENPP	1	CENPP	
IFI6	1	IFI6	
TCF7L2	1	TCF7L2	
LINC01563	1	LINC01563	
DLG5-AS1	1	DLG5-AS1	
COX7A1	1	COX7A1	
THSD7A	1	THSD7A	
NAV3	1	NAV3	
EPB41L3	1	EPB41L3	
SSBP2	1	SSBP2	
SPATA5	1	SPATA5	
ASS1	1	ASS1	
KIF2A	1	KIF2A	
RAB3IP	1	RAB3IP	
MIRLET7BHG	1	MIRLET7BHG	
NFIA	1	NFIA	
PCDH18	1	PCDH18	
CADPS2	1	CADPS2	
CAPRIN2	1	CAPRIN2	
AKR1C1	1	AKR1C1	
NAP1L2	1	NAP1L2	
PNMA6F	1	PNMA6F	
CMPK2	1	CMPK2	
ZNF718	1	ZNF718	
SPAG5	1	SPAG5	
SLC24A3	1	SLC24A3	
LINC00595	1	LINC00595	
MSL2	1	MSL2	
SNAP91	1	SNAP91	
GAPDHS	1	GAPDHS	
LINC02018	1	LINC02018	
SYT1	1	SYT1	
MRM1	1	MRM1	
FBXL2	1	FBXL2	
ZNF519	1	ZNF519	
HTATSF1	1	HTATSF1	
VSTM4	1	VSTM4	
LMNB1	1	LMNB1	
WNT3	1	WNT3	
GLT1D1	1	GLT1D1	
ZCCHC2	1	ZCCHC2	
USP18	1	USP18	
WASF1	1	WASF1	
WFDC1	1	WFDC1	
USP3-AS1	1	USP3-AS1	
SESN1	1	SESN1	
SLC25A15	1	SLC25A15	
ZNF618	1	ZNF618	
C16orf87	1	C16orf87	
RAB27B	1	RAB27B	
TPST2	1	TPST2	
NT5DC2	1	NT5DC2	
ARHGEF5	1	ARHGEF5	
PLS3	1	PLS3	
FAM185A	1	FAM185A	
PDE1B	1	PDE1B	
TRIM16	1	TRIM16	
VPS33B	1	VPS33B	
ADAMTS6	1	ADAMTS6	
KCTD16	1	KCTD16	
LRRC4	1	LRRC4	
SLC6A15	1	SLC6A15	
PTH1R	1	PTH1R	
MIAT	1	MIAT	
ADCY3	1	ADCY3	
METTL15	1	METTL15	
SLC7A4	1	SLC7A4	
APCDD1	1	APCDD1	
MCTP1	1	MCTP1	
TGFA	1	TGFA	
FARP2	1	FARP2	
SMOC1	1	SMOC1	
TEX30	1	TEX30	
IL17RA	1	IL17RA	
SPATA9	1	SPATA9	
KCNMB1	1	KCNMB1	
AGO1	1	AGO1	
ATP1B3	1	ATP1B3	
PLEKHA1	1	PLEKHA1	
NRXN3	1	NRXN3	
P3H3	1	P3H3	
YPEL2	1	YPEL2	
ELAPOR2	1	KIAA1324L	
SEPSECS-AS1	1	SEPSECS-AS1	
NYAP1	1	NYAP1	
AHNAK2	1	AHNAK2	
SLC35F1	1	SLC35F1	
NMRK1	1	NMRK1	
CLCN4	1	CLCN4	
SYN2	1	SYN2	
TLNRD1	1	TLNRD1	
RPP25	1	RPP25	
SNX16	1	SNX16	
RAB23	1	RAB23	
EDRF1-DT	1	EDRF1-DT	
ALG11	1	ALG11	
RHOT1	1	RHOT1	
NINJ2	1	NINJ2	
SSTR1	1	SSTR1	
SYT13	1	SYT13	
PDP2	1	PDP2	
CBX4	1	CBX4	
LINC02798	1	LINC02798	
PRMT8	1	PRMT8	
DLG3	1	DLG3	
PTPRJ	1	PTPRJ	
PRKCZ	1	PRKCZ	
CDYL2	1	CDYL2	
ENOX1	1	ENOX1	
DNM3	1	DNM3	
SMIM10L2B	1	SMIM10L2B	
ISLR2	1	ISLR2	
ALPK3	1	ALPK3	
UST	1	UST	
PRKCG	1	PRKCG	
TTR	1	TTR	
SLC16A10	1	SLC16A10	
RIMKLA	1	RIMKLA	
PSMD4	1	PSMD4	
SLC25A25-AS1	1	SLC25A25-AS1	
ATRIP	1	ATRIP	
CCDC152	1	CCDC152	
ESYT1	1	ESYT1	
COX6A2	1	COX6A2	
HPX	1	HPX	
LRRC37B	1	LRRC37B	
NOCT	1	NOCT	
FAAH2	1	FAAH2	
ZNF594	1	ZNF594	
BHLHE41	1	BHLHE41	
PHEX	1	PHEX	
HECA	1	HECA	
DDX10	1	DDX10	
RBMS3	1	RBMS3	
STAP2	1	STAP2	
INHA	1	INHA	
REXO5	1	REXO5	
STYX	1	STYX	
SERF1A	1	SERF1A	
AQP1	1	AQP1	
FOXN3	1	FOXN3	
NRN1	1	NRN1	
DYNLT2	1	TCTE3	
KLK6	1	KLK6	
MAMLD1	1	MAMLD1	
WDR7	1	WDR7	
SKIL	1	SKIL	
ZKSCAN5	1	ZKSCAN5	
EGR4	1	EGR4	
LSM11	1	LSM11	
DIAPH3	1	DIAPH3	
XAF1	1	XAF1	
TRMT2B	1	TRMT2B	
IRAK1BP1	1	IRAK1BP1	
ANKRD40	1	ANKRD40	
FBXL8	1	FBXL8	
HSPA12A	1	HSPA12A	
HAVCR2	1	HAVCR2	
VDAC3	1	VDAC3	
CAMK2N1	1	CAMK2N1	
SUMF1	1	SUMF1	
TBC1D12	1	TBC1D12	
MBD5	1	MBD5	
FOCAD-AS1	1	FOCAD-AS1	
NRAS	1	NRAS	
ERICH1	1	ERICH1	
ALS2CL	1	ALS2CL	
NBPF1	1	NBPF1	
RASD2	1	RASD2	
AFAP1L2	1	AFAP1L2	
PCDH15	1	PCDH15	
NBPF20	1	NBPF20	
LINC00642	1	LINC00642	
FGD4	1	FGD4	
