Barcode,Cluster
adjggoal-1,3
adjgjbjl-1,3
adjhajpp-1,2
adjhbglg-1,1
adjhhilk-1,3
adjhnala-1,1
adjjbigo-1,3
adjjfgpb-1,1
adjjlpon-1,2
adjlebgl-1,3
adjlmnjk-1,1
adjmjkbo-1,1
adjncfkc-1,1
adjppojg-1,1
adkahcmd-1,1
adkencol-1,2
adkfbppj-1,2
adkffame-1,1
adkgafap-1,2
adkghogm-1,1
adkgoikb-1,1
adkhafib-1,1
adkicmbm-1,3
adkjdpol-1,3
adkjocmi-1,1
adkjonho-1,3
adkkffli-1,1
adkkigek-1,2
adkkjdfo-1,1
adkmggni-1,2
adkogipi-1,1
adlbnfjb-1,1
adldeddj-1,1
adldinpa-1,1
adleaahg-1,2
adlejfaf-1,3
adlffhog-1,2
adlhaahf-1,1
adligeio-1,3
adliiakl-1,2
adlinjhe-1,3
adljbdap-1,1
adljfcef-1,1
adlkdcao-1,2
adlkdmcj-1,1
adlkeead-1,2
adlnbnjh-1,2
adlnccmg-1,1
adlnfegk-1,1
adlnmlmo-1,3
adloblfn-1,1
adloeaoa-1,1
adlpedha-1,1
admabcmi-1,1
admaebdj-1,2
admbeild-1,1
admckjdj-1,1
admcoiap-1,1
admdmpmb-1,3
admfngcd-1,1
admghabb-1,1
admhcabj-1,1
admhgjpj-1,3
admhhnfb-1,1
admjicfg-1,3
admjkkkj-1,1
admkoohg-1,1
admmbkii-1,1
admmnigm-1,1
admnndda-1,1
admpghke-1,2
adnahoca-1,1
adnbebla-1,2
adnbjnnh-1,1
adnbopol-1,2
adnbpdgf-1,2
adnccegi-1,2
adnccfdj-1,2
adncdgpg-1,2
adncgcpk-1,3
adnciklg-1,2
adndidcd-1,2
adnebjhk-1,2
adneggnh-1,1
adnehcic-1,2
adnfplid-1,2
adnhggfh-1,2
adnianlj-1,1
adnikdbc-1,2
adnimele-1,2
adnkhhia-1,2
adnkophf-1,2
adnmgnih-1,2
adnmkfja-1,2
adnmmpja-1,2
adnmnaga-1,1
adnnkbdi-1,2
adnnpkdl-1,2
adnogpfp-1,2
adoablmp-1,2
adoagfpo-1,2
adoapdgd-1,2
adodaplf-1,3
adoedfkl-1,1
adoefmpg-1,2
adoekkkp-1,1
adofhnia-1,2
adoghknh-1,1
adogpcfp-1,2
adohdjdb-1,1
adoikcef-1,1
adojbfal-1,2
adojhfal-1,1
adojljbm-1,2
adojmgfo-1,1
adokjbgk-1,2
adolbich-1,2
adolbmap-1,1
adooanng-1,3
adoogkje-1,1
adoopcpi-1,1
adopdifc-1,1
adopghhp-1,1
adoppfaj-1,1
adpbffll-1,2
adpcoaci-1,2
adpdgoim-1,2
adpdjdhc-1,1
adpdjooe-1,2
adpdncnn-1,2
adpdopmp-1,1
adpeddki-1,2
adpefkco-1,1
adpfobpd-1,2
adpheklo-1,1
adpijikd-1,1
adpimdga-1,2
adpiopdd-1,1
adpkolmd-1,1
adpmeedo-1,1
adpmkbmp-1,1
adpnihmc-1,2
adpnmfib-1,2
adpnngkp-1,1
adpnofbe-1,2
adpoidjg-1,1
adpombfc-1,1
adppdepo-1,1
adppemae-1,1
adppkhpl-1,3
adppnbdc-1,1
aeablgka-1,2
aeacdcgc-1,2
aeacfllj-1,1
